"Date","RUN","SDR_position","Lpc","Leq","Lz","alpha"
"20190126","3","B1",-0.200370969253841,-0.192660175267774,-0.192660175267774,0.4
"20190126","3","C1",-0.198194771697459,-0.185702044790642,-0.185702044790642,0.4
"20190126","3","D1",-0.177011375721057,-0.180878309987917,-0.180878309987917,0.4
"20190126","3","A2",-0.281734274032321,-0.265364080515924,-0.265364080515924,0.4
"20190126","3","B2",-0.26946979328822,-0.291443509014723,-0.291443509014723,0.4
"20190126","3","C2",-0.236660835498492,-0.20286562804283,-0.201965307079232,0.4
"20190126","3","D2",-0.22886063779457,-0.262911486034309,-0.261513789581207,0.4
"20190126","3","A3",-0.293245686739647,-0.322917547568709,-0.322917547568709,0.4
"20190126","3","B3",-0.269979896264725,-0.295164670535454,-0.295164670535454,0.4
"20190126","3","C3",-0.155944055944059,-0.154857838364158,-0.154857838364158,0.4
"20190126","3","D3",-0.215570545975157,-0.206787731256086,-0.206787731256086,0.4
"20190126","3","A4",-0.225155843131071,-0.265477698331629,-0.265477698331629,0.4
"20190126","3","B4",-0.253650506589036,-0.24775949367088,-0.24775949367088,0.4
"20190126","3","C4",-0.289948400412792,-0.295948393378775,-0.295948393378775,0.4
"20190126","3","D4",-0.0894046677993745,-0.0926929207688599,-0.0926153846153855,0.4
"20190126","3","A5",-0.205948168043795,-0.241810126582281,-0.241810126582281,0.4
"20190126","3","B5",-0.225084539873269,-0.219130740668361,-0.219130740668361,0.4
"20190126","3","C5",-0.257371789500825,-0.225913339824732,-0.225913339824732,0.4
"20190126","3","D5",-0.197986408808088,-0.224037974683537,-0.224037974683537,0.4
"20190126","3","A6",-0.203010605883045,-0.208267408685844,-0.208267408685844,0.4
"20190126","3","B6",-0.192934215667422,-0.178179105368377,-0.178179105368377,0.4
"20190126","3","C6",-0.205531254920489,-0.225690576652604,-0.225690576652604,0.4
"20190126","3","D6",-0.171409250861604,-0.164956414873249,-0.164956414873249,0.4
"20190130","1","A1",-0.129780661058062,-0.151264486687019,-0.151264486687019,0.4
"20190130","1","B1",-0.153028101987385,-0.179796150940049,-0.179796150940049,0.4
"20190130","1","C1",-0.13884412563513,-0.122449076333219,-0.122449076333219,0.4
"20190130","1","D1",-0.161575469687517,-0.143837874768904,-0.143919331360319,0.4
"20190130","1","A2",-0.193859220045377,-0.254606618434012,-0.255917158422051,0.4
"20190130","1","B2",-0.154609918000779,-0.218223961863946,-0.218223961863946,0.4
"20190130","1","C2",-0.166032309608749,-0.163717390828982,-0.117139081280982,0.4
"20190130","1","D2",-0.196808504220797,-0.190082046985275,-0.190082046985275,0.4
"20190130","1","A3",-0.19172454001666,-0.160851474900808,-0.159490075601739,0.4
"20190130","1","B3",-0.20443756480801,-0.180321941908552,-0.168894122826324,0.4
"20190130","1","C3",-0.174713834485237,-0.161937679036105,-0.161586230670737,0.4
"20190130","1","D3",-0.168629647045323,-0.157077519765304,-0.155378000512544,0.4
"20190130","1","A4",-0.124401500477553,-0.143002337881692,-0.141421571694804,0.4
