Measurement Name :,20190223_resp_run1,,Generated On :,"22/02/2019, 17:03:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
22.02.19 16:11:23,3.3,325.53,334.97,336.96,332.48,330.98,331.98,329.99,325.53,331.98,328.5,332.48,328.5,335.96,327.51,329.99,318.63,331.48,331.98,336.46,319.62,332.48,332.48,327.51,322.57,,11,968,28,16.65,
22.02.19 16:11:38,3.55,324.55,334.47,335.96,330.98,331.48,330.98,328.5,324.55,330.98,327.51,331.98,328.5,334.97,328.5,330.49,319.13,332.48,331.48,336.46,320.6,331.48,330.98,327.51,320.6,,11,968,28,16.64,
22.02.19 16:11:53,3.8,325.53,333.47,335.96,331.98,331.48,331.48,329.5,325.04,331.98,327.51,332.48,328.01,335.46,329,330.98,318.14,331.98,332.97,335.46,320.11,331.98,331.48,327.02,322.08,,11,968,28,16.61,
22.02.19 16:12:09,4.07,324.05,332.48,333.47,329.99,330.49,330.98,328.01,325.53,330.98,328.01,332.48,327.02,335.46,327.02,330.49,319.13,330.98,330.49,334.97,318.14,330.98,331.48,325.04,320.6,,11,968,28,16.57,
22.02.19 16:12:24,4.32,323.56,332.97,333.97,330.49,330.98,330.49,327.02,325.53,331.48,328.01,331.48,327.02,334.97,327.02,330.49,317.65,331.48,330.98,333.97,318.63,330.49,331.98,326.52,319.13,,11,968,28,16.56,
22.02.19 16:12:39,4.57,322.57,331.98,333.47,329.5,329.5,328.5,327.51,323.56,329.99,327.51,331.48,326.52,333.97,326.52,330.49,318.63,329.99,331.48,334.97,317.65,330.49,329.99,326.03,319.62,,11,968,28,16.52,
22.02.19 16:12:54,4.82,323.56,333.47,333.97,329.5,329.5,329,327.51,323.06,330.98,328.01,330.49,327.02,334.47,327.51,329.99,318.14,330.49,330.98,334.47,318.14,329.99,330.49,326.52,320.6,,11,968,28,16.52,
22.02.19 16:13:09,5.07,321.59,331.48,332.48,328.5,329,329,327.02,324.05,329.5,326.52,329.99,325.53,333.97,326.52,329.99,317.65,329.99,328.5,333.97,319.13,330.49,330.49,325.53,319.13,,11,968,28,16.47,
22.02.19 16:13:24,5.32,322.08,330.98,332.48,329,328.01,329,327.02,323.06,329,326.52,329.99,325.04,332.48,327.02,328.5,315.69,329.5,329.99,334.47,318.14,329.5,329.99,325.04,319.13,,11,968,28,16.45,
22.02.19 16:13:39,5.57,320.6,330.98,331.98,328.01,328.5,328.5,326.52,323.56,328.5,327.51,329,326.03,332.48,326.03,327.51,316.18,328.01,329.5,331.98,318.14,329.99,329.99,324.05,319.62,,11,968,28,16.41,
22.02.19 16:13:54,5.82,320.11,330.98,330.98,327.51,326.52,327.02,326.03,323.06,328.01,326.03,329.5,325.04,331.98,326.03,328.5,316.18,329.99,329.5,332.97,318.63,329.99,329.5,324.05,318.63,,11,968,28,16.39,
22.02.19 16:14:09,6.07,320.6,329.99,329.99,326.52,326.03,328.5,325.53,322.57,328.01,326.03,329,324.55,331.98,325.04,329.99,315.2,328.5,329,332.48,316.67,328.5,326.52,323.06,318.14,,11,968,28,16.36,
22.02.19 16:14:24,6.32,318.63,329,330.98,326.52,326.52,329,325.04,322.08,328.01,326.52,329,324.05,331.48,324.55,327.51,314.22,327.51,327.51,332.48,317.65,329,327.51,323.06,318.63,,11,968,28,16.34,
22.02.19 16:14:39,6.57,318.14,329.5,330.49,325.53,326.03,327.51,325.53,320.11,327.02,326.03,328.01,324.55,330.98,324.05,327.51,313.73,326.52,328.01,331.98,316.18,328.01,327.02,323.06,316.67,,11,968,28,16.31,
22.02.19 16:14:54,6.82,318.63,328.5,329.5,326.03,325.04,326.52,324.55,321.09,328.01,326.03,327.51,323.56,329.99,324.05,327.51,315.69,327.51,327.51,330.98,315.69,328.01,327.02,321.59,317.16,,11,968,28,16.29,
22.02.19 16:15:09,7.07,318.63,328.01,329.99,325.53,326.03,326.52,325.53,321.59,326.52,325.53,327.51,323.06,329.99,323.06,327.51,314.71,325.53,328.01,330.98,314.71,327.51,327.51,322.08,315.2,,11,968,28,16.25,
22.02.19 16:15:24,7.32,317.16,328.5,329.5,325.53,325.53,325.53,325.04,321.09,327.02,326.03,327.02,323.56,329.99,323.56,327.51,314.22,326.52,327.51,330.98,315.69,326.03,327.02,321.09,317.16,,11,968,28,16.23,
22.02.19 16:15:39,7.57,317.65,327.51,329,324.55,324.05,326.03,322.57,319.13,325.53,325.04,326.52,321.59,328.5,323.06,326.52,313.73,326.03,325.53,329.99,316.18,326.52,325.04,321.09,315.2,,11,968,28,16.22,
22.02.19 16:15:54,7.82,317.16,327.02,329,324.55,322.57,325.04,323.56,320.11,325.04,324.55,325.53,322.08,328.01,322.57,326.03,312.27,325.53,326.03,329.99,314.22,326.52,324.55,321.09,315.69,,11,968,28,16.18,
22.02.19 16:16:09,8.07,316.67,327.02,328.01,323.56,323.56,325.53,322.57,319.62,325.04,326.03,326.03,322.57,329,323.06,327.02,312.75,324.55,325.53,328.5,314.71,326.52,325.53,320.11,316.18,,11,968,28,16.15,
22.02.19 16:16:24,8.32,316.18,325.53,326.52,323.06,322.57,324.55,322.57,319.13,325.04,324.55,324.55,321.09,327.51,321.59,325.04,312.27,324.55,325.53,328.01,312.75,324.55,325.53,320.11,313.73,,11,968,28,16.14,
22.02.19 16:16:39,8.57,315.69,325.53,327.51,323.06,323.06,324.05,321.59,319.62,324.05,324.05,324.55,321.09,327.02,323.06,325.04,311.78,323.56,324.05,328.01,313.73,325.53,324.55,318.63,315.2,,11,968,28,16.09,
22.02.19 16:16:54,8.82,314.71,325.53,326.52,321.59,321.59,324.55,322.08,319.62,323.56,322.57,324.05,319.62,328.01,321.59,325.53,311.29,323.56,324.55,326.52,312.27,325.04,325.04,319.62,314.22,,11,968,28,16.07,
22.02.19 16:17:09,9.07,314.71,325.04,327.02,323.06,322.57,324.55,322.08,318.14,323.56,324.05,324.05,321.59,327.51,321.59,324.55,311.29,323.56,324.55,328.01,312.27,324.05,324.05,319.62,314.22,,11,968,28,16.06,
22.02.19 16:17:24,9.32,313.73,324.55,325.53,322.57,321.59,323.06,322.57,319.13,324.55,324.05,324.05,319.13,327.51,321.09,325.04,310.8,323.56,324.05,326.52,312.27,324.55,324.55,317.65,314.22,,11,968,28,16.02,
22.02.19 16:17:39,9.57,313.73,324.05,327.02,322.57,321.09,323.06,320.6,319.13,322.08,322.57,324.05,319.13,326.03,320.6,324.55,311.29,323.06,323.56,327.51,313.24,323.56,324.05,317.16,312.27,,11,968,28,16,
22.02.19 16:17:54,9.82,314.22,323.56,326.03,320.11,321.09,322.57,319.62,317.16,322.08,323.06,323.56,318.63,326.03,320.6,325.04,308.85,323.56,323.06,327.02,312.75,323.06,323.56,318.14,311.29,,11,968,28,15.97,
22.02.19 16:18:09,10.07,312.75,323.56,324.55,321.09,320.6,322.08,320.6,317.16,322.57,322.57,323.56,319.13,325.53,320.6,324.05,309.83,322.08,323.06,327.02,312.27,324.05,324.55,316.67,312.27,,11,968,28,15.93,
22.02.19 16:18:24,10.32,312.75,325.04,325.53,320.11,321.59,322.57,320.6,316.67,322.57,322.08,323.06,318.63,326.03,320.6,324.05,309.83,322.57,323.56,325.04,311.29,323.06,324.05,317.65,312.75,,11,968,28,15.91,
22.02.19 16:18:39,10.57,312.27,322.57,324.05,320.11,319.62,321.59,320.6,315.69,321.09,321.59,322.57,317.65,324.55,319.13,323.06,309.34,321.09,322.57,325.53,310.31,322.08,322.57,316.18,311.78,,11,968,28,15.9,
22.02.19 16:18:54,10.82,312.27,323.06,324.05,320.6,320.11,322.57,320.11,316.67,322.08,322.57,321.09,318.14,324.55,318.63,322.08,307.88,321.09,322.57,325.04,310.8,323.06,322.57,317.16,310.8,,11,968,28,15.88,
22.02.19 16:19:09,11.07,311.78,323.06,324.05,319.13,319.62,322.08,320.11,316.18,320.6,321.59,321.59,317.65,325.04,320.11,324.05,309.83,321.59,322.57,326.03,311.78,323.06,322.57,317.16,311.29,,11,968,28,15.84,
22.02.19 16:19:24,11.32,311.78,321.59,324.55,320.11,318.63,322.08,319.62,316.67,322.57,322.57,321.09,317.65,325.53,318.63,323.06,308.85,321.09,322.08,325.04,311.29,323.56,321.59,315.69,311.78,,11,968,28,15.82,
22.02.19 16:19:39,11.57,310.8,322.08,322.08,318.14,318.14,320.6,318.14,316.18,320.6,321.59,322.08,317.65,324.05,318.14,322.57,308.37,319.62,322.08,324.55,310.31,320.11,321.59,314.71,311.78,,11,968,28,15.79,
22.02.19 16:19:54,11.82,310.8,321.59,323.06,319.13,317.65,322.08,319.13,315.2,320.11,321.59,321.59,316.18,324.05,318.63,323.56,307.88,320.6,320.6,324.55,309.34,322.57,321.59,315.69,308.85,,11,968,28,15.77,
22.02.19 16:20:09,12.07,311.29,320.11,323.06,318.14,317.16,321.09,317.65,314.71,319.13,321.09,319.62,315.69,324.05,318.14,323.06,306.91,318.63,320.11,324.55,310.8,322.08,321.59,315.2,309.83,,11,968,28,15.75,
22.02.19 16:20:24,12.32,310.31,320.6,322.57,318.14,317.16,319.13,317.65,313.24,318.63,320.11,320.11,315.69,323.06,318.63,322.08,307.88,319.13,320.11,323.06,310.31,321.09,321.59,314.71,309.34,,11,968,28,15.72,
22.02.19 16:20:39,12.57,307.88,319.13,321.09,316.67,317.65,320.6,317.16,314.71,318.14,320.11,320.11,315.69,321.59,317.65,320.6,306.91,318.63,319.62,323.56,308.37,321.09,320.11,314.22,309.34,,11,968,28,15.7,
22.02.19 16:20:54,12.82,309.83,320.11,321.09,316.67,316.18,319.13,317.65,315.69,319.62,320.11,318.63,315.69,322.57,318.14,321.59,306.42,318.63,319.13,323.56,309.83,321.09,321.59,314.22,309.83,,11,968,28,15.68,
22.02.19 16:21:09,13.07,309.34,319.62,322.08,317.16,317.16,319.62,317.65,313.73,319.13,320.11,319.62,315.69,321.59,318.14,322.08,306.42,318.63,319.62,323.06,309.83,320.11,320.6,313.73,309.34,,11,968,28,15.64,
22.02.19 16:21:24,13.32,309.34,319.13,320.6,315.69,315.69,319.13,317.65,313.73,318.14,319.13,318.63,315.2,322.08,315.69,320.6,305.45,318.63,318.63,322.57,308.85,321.09,320.11,313.73,307.39,,11,968,28,15.63,
22.02.19 16:21:39,13.57,307.88,318.14,320.11,316.67,315.69,318.63,316.18,314.22,318.63,319.62,319.13,315.69,321.09,316.67,320.6,305.93,318.63,319.62,322.57,309.83,321.09,319.62,314.71,309.83,,11,968,28,15.61,
22.02.19 16:21:54,13.82,308.85,319.13,320.11,315.69,316.18,319.13,316.18,313.24,318.63,319.13,318.14,315.2,321.59,316.67,320.11,305.93,317.65,318.63,321.09,308.37,320.6,320.11,313.24,307.39,,11,968,28,15.57,
22.02.19 16:22:09,14.07,307.39,318.63,320.11,315.2,314.22,317.16,316.67,312.75,317.16,319.13,318.14,314.71,320.6,316.67,320.6,305.93,317.65,319.13,321.59,308.37,320.11,320.11,313.24,307.39,,11,968,28,15.56,
22.02.19 16:22:24,14.32,306.91,318.14,318.63,314.71,314.22,317.16,316.18,312.75,316.67,317.65,318.63,313.73,319.62,316.18,319.13,304.96,318.14,318.14,322.57,307.88,318.63,318.14,312.27,308.85,,11,968,28,15.52,
22.02.19 16:22:39,14.57,306.42,318.14,318.63,315.2,314.71,318.14,316.67,312.75,315.69,318.14,317.16,314.22,319.13,316.18,320.6,305.45,318.14,318.14,321.59,307.88,318.63,318.63,310.8,307.88,,11,968,28,15.52,
22.02.19 16:22:54,14.82,306.91,317.16,319.13,314.22,313.73,317.16,315.2,312.75,316.67,317.16,315.69,314.22,318.63,316.18,320.11,303.99,316.67,317.65,321.09,307.39,318.63,318.63,311.29,306.91,,11,968,28,15.48,
22.02.19 16:23:09,15.07,306.42,316.18,319.62,315.2,314.22,316.67,315.2,312.75,317.16,318.14,318.14,313.73,320.6,316.18,319.62,303.99,316.18,318.14,321.59,308.37,318.14,318.14,310.8,308.85,,11,968,28,15.45,
22.02.19 16:23:24,15.32,305.45,315.69,318.63,314.22,313.24,317.65,314.71,312.75,316.67,317.16,317.16,313.73,319.13,316.18,319.62,303.51,317.16,317.16,321.09,306.91,318.63,318.14,310.8,305.93,,11,968,28,15.43,
22.02.19 16:23:39,15.57,305.93,315.69,318.63,313.73,313.73,315.69,315.69,311.29,316.18,316.67,315.69,313.24,318.63,314.22,318.14,303.51,315.2,316.18,319.62,305.45,316.67,317.16,310.8,305.93,,11,968,28,15.41,
22.02.19 16:23:54,15.82,305.45,314.71,317.16,313.24,312.75,315.2,314.22,311.29,315.69,316.18,316.67,313.24,318.63,314.71,318.63,303.02,316.67,316.18,320.11,306.42,317.65,317.16,310.8,306.91,,11,968,28,15.39,
22.02.19 16:24:09,16.07,305.93,315.2,317.65,314.71,313.73,316.18,314.71,311.29,316.18,316.67,316.67,312.75,318.14,314.71,318.14,302.05,315.2,317.16,319.62,306.91,316.18,317.65,310.8,305.93,,11,968,28,15.36,
22.02.19 16:24:24,16.32,304.48,315.2,315.2,313.24,312.27,314.71,314.71,310.8,315.69,316.18,315.2,312.75,317.16,314.22,318.14,302.05,315.69,316.18,318.63,304.48,316.18,316.67,310.31,304.96,,11,968,28,15.36,
22.02.19 16:24:39,16.57,304.96,314.71,316.67,312.75,311.78,314.71,313.73,310.31,315.2,314.71,315.2,312.27,317.16,313.24,318.14,301.09,314.71,315.69,317.65,304.96,317.65,315.69,309.83,305.45,,11,968,28,15.32,
22.02.19 16:24:54,16.82,304.96,314.71,316.18,313.24,311.29,314.71,313.73,310.8,314.71,314.71,315.2,311.78,316.67,314.71,317.65,302.54,313.73,315.69,318.14,304.96,316.18,316.18,309.34,305.45,,11,968,28,15.29,
22.02.19 16:25:09,17.07,303.51,313.73,315.2,311.29,311.29,314.22,313.73,309.83,314.22,314.22,314.71,310.31,316.67,313.24,317.65,302.05,313.73,315.2,317.65,304.96,314.71,315.69,308.85,305.45,,11,968,28,15.27,
22.02.19 16:25:24,17.32,302.54,312.27,316.67,312.27,309.34,314.71,312.27,310.31,313.24,314.71,315.69,310.8,317.16,313.24,317.16,301.09,313.24,315.2,317.16,303.51,315.69,315.2,307.88,305.45,,11,968,28,15.25,
22.02.19 16:25:39,17.57,302.05,314.22,314.71,310.31,309.83,314.22,312.27,310.31,313.73,314.22,313.73,309.34,315.69,313.24,316.67,301.57,312.75,314.22,316.67,304.96,315.2,315.2,307.88,303.99,,11,968,28,15.23,
22.02.19 16:25:54,17.82,303.02,313.73,315.2,311.78,308.85,313.73,312.27,309.34,312.27,312.75,313.24,310.31,316.18,311.78,315.2,301.09,313.24,314.22,317.16,303.02,315.2,315.2,306.91,303.51,,11,968,28,15.2,
22.02.19 16:26:09,18.07,303.02,312.75,315.2,310.8,310.31,313.73,312.75,309.83,312.75,313.24,313.24,310.31,316.18,312.27,315.69,300.6,312.75,314.71,315.69,303.51,315.2,315.2,306.42,303.02,,11,968,28,15.18,
22.02.19 16:26:24,18.32,303.02,312.27,313.73,310.31,309.83,313.73,311.78,309.34,312.75,314.22,313.24,309.83,316.18,311.78,316.67,299.64,312.75,313.73,315.69,303.99,315.2,314.22,306.91,304.48,,11,968,28,15.16,
22.02.19 16:26:39,18.57,303.02,312.75,314.71,310.31,310.8,313.73,311.29,309.34,313.24,313.73,312.75,308.85,315.69,312.75,315.69,300.6,312.75,314.71,316.18,303.99,314.22,314.71,306.91,302.54,,11,968,28,15.14,
22.02.19 16:26:54,18.82,302.54,312.75,314.22,311.29,309.83,312.27,311.29,310.31,312.75,313.73,312.27,308.85,314.71,311.78,315.2,300.12,312.27,313.73,315.2,302.54,314.71,314.71,306.42,304.48,,11,968,28,15.14,
22.02.19 16:27:09,19.07,303.02,312.27,313.24,310.31,308.37,312.27,310.31,309.34,312.27,313.73,312.75,309.83,315.69,310.8,315.2,300.12,311.78,313.73,316.18,303.51,313.73,313.73,306.42,303.51,,11,968,28,15.11,
22.02.19 16:27:24,19.32,302.54,311.29,313.73,309.83,308.37,312.75,311.29,307.88,312.27,312.27,312.27,307.88,314.22,311.29,315.2,300.6,311.29,313.73,315.69,302.54,313.73,312.75,306.42,303.51,,11,968,28,15.09,
22.02.19 16:27:39,19.57,301.09,310.31,312.27,309.83,307.88,311.78,312.27,308.37,312.75,312.27,313.24,307.88,314.22,311.78,314.71,298.19,311.78,313.73,315.2,303.51,313.73,313.24,305.45,303.51,,11,968,28,15.06,
22.02.19 16:27:54,19.82,300.6,311.29,313.73,308.85,307.88,312.27,309.83,307.39,311.78,311.29,311.78,309.34,314.22,310.8,314.22,299.15,312.27,312.75,314.71,303.02,313.24,312.75,304.96,302.54,,11,968,28,15.04,
22.02.19 16:28:09,20.07,301.09,311.29,313.24,308.85,307.88,311.78,310.31,308.37,311.29,311.78,311.29,308.85,313.24,311.78,314.22,297.71,312.75,312.75,313.73,302.54,311.29,312.75,304.48,302.54,,11,968,28,15.02,
22.02.19 16:28:24,20.32,301.09,309.83,312.27,308.85,306.42,312.27,309.83,307.39,310.31,310.8,311.29,308.37,312.27,310.31,314.71,299.64,311.78,311.78,313.73,302.54,311.78,313.24,304.48,301.57,,11,968,28,15,
22.02.19 16:28:39,20.57,299.64,309.83,312.27,307.39,306.42,310.8,308.85,306.42,310.8,311.78,310.31,307.39,312.75,310.31,312.27,298.19,309.83,312.75,313.24,300.12,312.75,312.75,303.99,302.05,,11,968,28,14.97,
22.02.19 16:28:54,20.82,300.12,309.83,311.78,307.39,305.45,310.31,309.34,307.88,310.31,310.8,310.8,306.91,311.29,310.8,313.73,298.19,310.31,310.8,314.22,301.09,311.78,311.78,303.99,301.09,,11,968,28,14.95,
22.02.19 16:29:09,21.07,300.12,309.83,310.31,307.88,305.93,310.8,309.83,306.42,310.31,311.29,310.31,306.42,311.78,309.83,313.73,299.15,310.31,311.78,312.75,301.57,310.8,311.78,303.02,301.57,,11,968,28,14.93,
22.02.19 16:29:24,21.32,300.6,308.85,311.78,307.88,305.93,309.83,308.85,306.42,310.31,310.31,308.85,306.42,311.78,309.83,314.22,297.71,309.34,311.78,313.24,300.6,311.78,311.78,303.51,300.6,,11,968,28,14.91,
22.02.19 16:29:40,21.58,299.64,307.88,311.78,307.39,307.88,310.8,308.85,306.42,311.78,309.83,311.29,306.42,310.8,309.34,312.75,298.19,310.31,311.78,313.73,301.09,311.78,312.75,303.99,301.09,,11,968,28,14.89,
22.02.19 16:29:55,21.83,300.12,308.85,311.29,307.39,306.91,309.83,309.83,306.42,310.31,310.31,308.85,306.91,310.31,309.34,313.24,297.71,310.31,311.78,313.24,299.15,312.75,310.8,303.51,302.54,,11,968,28,14.86,
22.02.19 16:30:10,22.08,299.15,308.85,310.31,306.42,304.96,309.83,307.88,305.93,308.85,310.31,309.34,307.39,310.8,310.31,313.24,296.74,309.83,310.31,312.75,299.64,310.8,311.78,303.02,300.6,,11,968,28,14.86,
22.02.19 16:30:25,22.33,298.19,307.88,311.29,306.91,304.96,309.83,308.37,303.99,309.83,310.31,309.83,306.42,310.8,309.34,311.78,298.67,309.34,310.31,312.75,300.6,309.34,310.8,303.02,300.12,,11,968,28,14.84,
22.02.19 16:30:40,22.58,298.67,307.88,309.83,305.93,305.45,309.83,307.39,305.93,309.83,309.83,308.85,305.93,310.31,308.85,312.27,296.74,307.88,310.31,311.78,299.64,310.8,311.78,300.12,298.19,,11,968,28,14.82,
22.02.19 16:30:55,22.83,297.22,306.91,309.34,306.42,305.93,310.31,308.37,304.96,308.85,309.34,308.85,305.93,310.31,309.83,311.78,296.26,308.37,309.83,312.27,297.22,310.8,310.8,302.05,300.6,,11,968,28,14.79,
22.02.19 16:31:10,23.08,297.71,307.39,310.8,305.93,303.51,308.85,307.39,305.45,307.39,309.34,308.37,305.45,308.37,308.37,311.78,295.3,308.37,310.31,310.8,299.15,310.31,310.31,301.09,299.15,,11,968,28,14.79,
22.02.19 16:31:25,23.33,296.74,307.39,308.85,305.93,303.99,308.85,307.88,305.93,308.85,308.85,308.37,305.45,307.88,308.37,310.8,296.74,307.39,309.83,311.29,298.19,309.83,309.83,302.05,299.64,,11,968,28,14.75,
22.02.19 16:31:40,23.58,298.67,307.39,310.31,306.42,304.48,309.34,307.88,305.93,308.85,309.34,307.88,305.93,308.85,308.37,311.29,296.74,307.88,309.34,311.78,298.67,310.31,310.8,301.57,300.12,,11,968,28,14.72,
22.02.19 16:31:55,23.83,296.74,307.88,308.37,304.48,304.96,309.83,307.39,304.96,307.39,308.37,307.39,305.45,310.31,308.37,310.8,295.78,307.88,308.37,312.75,298.19,310.8,310.31,301.09,299.15,,11,968,28,14.72,
22.02.19 16:32:10,24.08,297.71,306.42,308.85,304.96,304.48,309.83,306.42,303.99,307.39,307.88,308.85,305.45,308.37,307.39,310.31,295.78,305.93,309.34,308.85,298.19,310.31,310.31,300.6,300.12,,11,968,28,14.7,
22.02.19 16:32:25,24.33,297.22,305.45,307.39,304.96,303.99,308.37,304.96,303.99,307.88,306.91,306.91,304.96,308.37,306.91,309.83,295.78,307.39,309.34,310.8,296.74,309.34,308.37,300.6,299.64,,11,968,28,14.66,
22.02.19 16:32:40,24.58,296.74,305.93,306.91,304.96,303.02,308.85,305.93,304.48,307.39,307.39,306.91,303.51,306.91,306.91,309.34,295.3,306.42,308.37,309.83,298.67,308.37,309.34,299.64,298.19,,11,968,28,14.65,
22.02.19 16:32:55,24.83,296.26,303.99,307.39,303.99,302.54,308.37,306.42,304.48,306.42,307.39,308.37,303.99,309.83,306.91,310.31,294.82,304.96,308.37,310.31,297.71,309.34,308.37,300.12,299.64,,11,968,28,14.64,
22.02.19 16:33:10,25.08,295.3,305.45,308.85,304.96,302.54,307.88,305.93,304.96,306.42,307.39,306.42,304.96,308.85,307.39,310.8,294.82,305.93,308.85,309.83,297.71,309.83,308.85,300.12,299.15,,11,968,28,14.61,
